2026-05-19 11:55:59 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-2.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-2.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:56:01 | WARNING  | main | ⚠️ Tentative 3/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-2.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-2.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:56:03 | WARNING  | main | ⚠️ Tentative 1/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-3.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-3.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:56:05 | WARNING  | main | ⚠️ Tentative 2/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-3.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-3.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:56:07 | WARNING  | main | ⚠️ Tentative 3/3 échouée pour https://ce-site-n-existe-absolument-pas-12345.com/page-3.html. Erreur: HTTPSConnectionPool(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Max retries exceeded with url: /page-3.html (Caused by NameResolutionError("HTTPSConnection(host='ce-site-n-existe-absolument-pas-12345.com', port=443): Failed to resolve 'ce-site-n-existe-absolument-pas-12345.com' ([Errno -2] Name or service not known)"))
2026-05-19 11:56:09 | ERROR    | main | 🛑 Connexion perdue avec le site. Arrêt du scan.
2026-05-19 11:56:09 | ERROR    | main | ❌ Aucun lien trouvé. Abandon.
2026-05-19 11:56:09 | WARNING  | __main__ | 🚫 Pipeline arrêté : le scraping n'a généré aucun résultat.
2026-05-19 11:57:21 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Mysterious Affair at Styles (Hercule Poirot #1)' (https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html)
2026-05-19 11:57:22 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'How to Stop Worrying and Start Living' (https://books.toscrape.com/catalogue/how-to-stop-worrying-and-start-living_431/index.html)
